"","CAMPUS","CDB00A001219R","CDB00A001019D","CDH00A001219R","CDH00A001019D","CDW00A001219R","CDW00A001019D"
"1",1902001,71,7,58,19,67,180
"2",1902041,0,5,48,31,60,282
"3",1902103,50,-3,75,12,62,330
"4",1903001,35,43,63,52,66,390
"5",1903002,,,,,,
"6",1903041,17,47,55,115,54,580
"7",1903101,,,,,,
"8",1903102,27,26,52,87,59,567
"9",1904001,54,28,52,23,58,255
"10",1904041,19,64,56,41,61,415
"11",1904102,36,45,44,43,53,356
"12",1906002,25,-3,47,19,80,103
"13",1906102,30,27,34,74,51,321
"14",1907001,35,402,50,621,68,361
"15",1907041,29,418,41,773,51,468
"16",1907101,,,,,,
"17",1907102,,,,,,
"18",1907107,32,110,44,182,59,108
"19",1907110,23,495,35,833,46,498
"20",1908002,27,121,46,136,58,322
"21",1908041,25,159,33,244,44,345
"22",1908101,22,171,26,262,35,584
"23",1908102,,,,,,
"24",1909001,-1,-1,69,13,60,151
"25",1909101,53,-3,63,35,51,387
"26",2901001,31,-3,49,1304,66,490
"27",2901002,,,6,32,6,16
"28",2901041,22,27,33,1929,50,861
"29",2901101,-1,-1,44,372,55,172
"30",2901104,17,18,34,1272,48,556
"31",2901105,,,,,,
"32",3801001,55,65,65,80,83,231
"33",3801042,36,120,34,217,52,372
"34",3801103,45,108,45,175,70,344
"35",3902001,35,78,67,229,77,704
"36",3902004,7,-3,-1,-1,,
"37",3902041,43,110,57,618,69,1204
"38",3902101,,,,,,
"39",3902102,25,122,40,431,56,1021
"40",3903001,39,892,50,1382,64,683
"41",3903004,5,21,0,-3,56,9
"42",3903044,31,1263,42,2143,61,1241
"43",3903120,38,264,42,217,64,113
"44",3903121,26,388,52,231,72,306
"45",3903122,27,297,36,245,42,156
"46",3903123,39,138,42,364,42,79
"47",3903124,,,,,,
"48",3903125,,,,,,
"49",3903126,,,,,,
"50",3903127,,,,,,
"51",3903128,,,,,,
"52",3903129,16,88,36,888,52,222
"53",3903130,,,,,,
"54",3903131,,,,,,
"55",3903141,,,,,,
"56",3903201,,,,,,
"57",3904001,28,18,44,48,55,611
"58",3904005,,,,,27,22
"59",3904041,22,32,51,68,52,970
"60",3904101,67,-3,45,20,38,194
"61",3904102,33,21,27,66,47,571
"62",3905001,42,106,51,399,67,173
"63",3905004,,,-1,-1,-1,-1
"64",3905041,35,140,39,628,56,412
"65",3905101,,,,,,
"66",3905102,,,,,,
"67",3905103,30,101,33,547,50,323
"68",3906001,-1,-1,41,17,37,334
"69",3906101,,,40,5,39,180
"70",3907001,43,28,48,106,55,387
"71",3907004,,,,,-1,-1
"72",3907041,28,47,45,249,57,866
"73",3907102,28,18,36,122,46,357
"74",4901001,45,20,51,564,66,639
"75",4901041,33,18,32,800,42,938
