County Number,County Name,ESC Region Served,ESC Region PEIMS,ESC Region Geographic,District Number,District Name,District Type,NCES District ID,District Street Address,District City,District Zip,District Enrollment as of Oct 2021,School Number,School Enrollment as of Oct 2021
'001,ANDERSON COUNTY,'07,'07,'07,'001902,CAYUGA ISD,INDEPENDENT,'4813200,P O BOX 427,CAYUGA,75832-0427,576,'001902001,169
'001,ANDERSON COUNTY,'07,'07,'07,'001902,CAYUGA ISD,INDEPENDENT,'4813200,P O BOX 427,CAYUGA,75832-0427,576,'001902041,159
'001,ANDERSON COUNTY,'07,'07,'07,'001902,CAYUGA ISD,INDEPENDENT,'4813200,P O BOX 427,CAYUGA,75832-0427,576,'001902103,248
'001,ANDERSON COUNTY,'07,'07,'07,'001903,ELKHART ISD,INDEPENDENT,'4818390,301 E PARKER ST,ELKHART,75839-9701,1150,'001903001,307
'001,ANDERSON COUNTY,'07,'07,'07,'001903,ELKHART ISD,INDEPENDENT,'4818390,301 E PARKER ST,ELKHART,75839-9701,1150,'001903002,0
'001,ANDERSON COUNTY,'07,'07,'07,'001903,ELKHART ISD,INDEPENDENT,'4818390,301 E PARKER ST,ELKHART,75839-9701,1150,'001903041,268
'001,ANDERSON COUNTY,'07,'07,'07,'001903,ELKHART ISD,INDEPENDENT,'4818390,301 E PARKER ST,ELKHART,75839-9701,1150,'001903101,320
'001,ANDERSON COUNTY,'07,'07,'07,'001903,ELKHART ISD,INDEPENDENT,'4818390,301 E PARKER ST,ELKHART,75839-9701,1150,'001903102,255
'001,ANDERSON COUNTY,'07,'07,'07,'001904,FRANKSTON ISD,INDEPENDENT,'4819770,P O BOX 428,FRANKSTON,75763-0428,808,'001904001,232
'001,ANDERSON COUNTY,'07,'07,'07,'001904,FRANKSTON ISD,INDEPENDENT,'4819770,P O BOX 428,FRANKSTON,75763-0428,808,'001904041,203
'001,ANDERSON COUNTY,'07,'07,'07,'001904,FRANKSTON ISD,INDEPENDENT,'4819770,P O BOX 428,FRANKSTON,75763-0428,808,'001904102,373
'001,ANDERSON COUNTY,'07,'07,'07,'001906,NECHES ISD,INDEPENDENT,'4832250,P O BOX 310,NECHES,75779-0310,343,'001906002,104
